POS	NAME	QUANTITY	TYPE	REFERENCE
1	C2	1	BUY	150u, CP_Elec_8x6.2
2	C5	1	BUY	820u, CP_Radial_D10.0mm_P5.00mm
3	C1	1	BUY	1200u, CP_Radial_L31.5mm_D16.0mm_P7.50mm_horizontal
4	C9, C10, C19, C24, C25, C26, C30, C31, C32, C39, C42, C43	12	BUY	100n, C_0603_1608
5	C4, C7, C8, C17, C18, C27, C28, C37, C41, C44	10	BUY	10n, C_0603_1608
6	C12, C23, C33, C34, C38	5	BUY	2.2u, C_0603_1608
7	C6, C11, C13	3	BUY	1n, C_0603_1608
8	C29	1	BUY	220n, C_0603_1608
9	C35	1	BUY	100p, C_0603_1608
10	C14	1	BUY	1u, C_0805_2012
11	C20, C21, C36, C40	4	BUY	22u, C_1206_3216
12	C3	1	BUY	4.7u, C_1210_3225
13	C15	1	BUY	10u, C_1210_3225
14	R12, R22, R23, R24, R25, R28, R35, R36	8	BUY	100k, R_0603_1608
15	R5, R7, R13, R30, R33, R34	6	BUY	2.2k, R_0603_1608
16	R11, R14, R15, R18, R20, R21	6	BUY	470, R_0603_1608
17	R9, R16, R19, R31	4	BUY	10k, R_0603_1608
18	R26, R27	2	BUY	5.6k, R_0603_1608
19	R29, R32	2	BUY	24.9k, R_0603_1608
20	R2	1	BUY	1M, R_0603_1608
21	R8	1	BUY	100, R_0603_1608
22	R1, R3, R10	3	BUY	4.7, R_0805_2012
23	R4	1	BUY	2.2, R_1206_3216
24	R6, R17	2	BUY	3m, R_Bourns_CRE2512
25	L3	1	BUY	10uH, Bourns_SRN8040TA
26	L1	1	BUY	47uH, L-FERYSTER-DTMSS-27_47uH
27	L2	1	BUY	2.2uH, L_1210_3225Metric
28	D5	1	BUY	SMBJ24A, D_SMB
29	D1, D4, D7	3	BUY	1N4148, D_SOD-123
30	D6	1	BUY	SS14FL, D_SOD-123
31	U2	1	BUY	STM32L072CZT6, LQFP-48_7x7mm_P0.5mm
32	U1	1	BUY	LM5109BMA, SOIC-8_3.9x4.9mm_Pitch1.27mm
33	U5	1	BUY	AP2210-3.3, SOT-23-5
34	U3, U4	2	BUY	D1213A-04SO, SOT-23-6
35	U9	1	BUY	LMR33630, TI_SO-PowerPAD-8_ThermalVias
36	U6	1	BUY	INA2181, VSSOP-10_3.0x3.0mm_P0.5mm
37	F1	1	BUY	25A, KEYSTONE-FUSE-3557-2
38	F2	1	BUY	50mA, R_1206_3216
39	Q1, Q2, Q4	3	BUY	PSMN5R2-60YLX, 5X6_MOSFET
40	Q3	1	BUY	BSC084P03NS3, 5X6_MOSFET
41	LED1, LED2, LED3	3	BUY	yellow, LED_0603_D3.0mm
42	LED4, LED5	2	BUY	green, LED_0603_D3.0mm
43	LOGO1	1	BUY	LIBRE_SOLAR, LIBRESOLAR_LOGO
44	RT1	1	BUY	10k NTC, R_0603_1608
45	Q5, Q6, Q7	3	BUY	BSS83P, SOT-23
46	T1, T2	2	BUY	MMBT3904, SOT-23
47	J4	1	BUY	UEXT, Box_Header_2x05x2.54mm_Straight
48	J6	1	BUY	PWR_12V, JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical
49	J1, J2, J3	3	BUY	MKDS_5-2_952, Phoenix_Contact_MKDS_5-2-952
50	J8	1	BUY	ST_Nucleo_SWD, PinHeader_1x05_P2.54mm_Vertical
51	J7	1	BUY	6P6C, RJ25_6P6C_TabUp
52	J5	1	BUY	USB_A_stacked, USB_A_Wuerth_61400826021_Horizontal_Stacked
