NAME	QUANTITY	TYPE	PARENT-ASM	REFERENCE-1	REFERENCE-2
Aluminium Plate 1	1	POSH		https://github.com/OPEN-NEXT/OSHI/blob/master/sample_data/COSI%20Measure%20-%20Mechanical%20System/.okh-alu1.yaml	
Aluminium Plate 2	1	POSH		https://github.com/OPEN-NEXT/OSHI/blob/master/sample_data/COSI%20Measure%20-%20Mechanical%20System/.okh-alu2.yaml	
Aluminium Plate 3	1	POSH		https://github.com/OPEN-NEXT/OSHI/blob/master/sample_data/COSI%20Measure%20-%20Mechanical%20System/.okh-alu3.yaml	
Aluminium Plate 4	1	POSH		https://github.com/OPEN-NEXT/OSHI/blob/master/sample_data/COSI%20Measure%20-%20Mechanical%20System/.okh-alu4.yaml	
Aluminium Plate 5	1	POSH		https://github.com/OPEN-NEXT/OSHI/blob/master/sample_data/COSI%20Measure%20-%20Mechanical%20System/.okh-alu5.yaml	
Aluminium Plate 6	1	POSH		https://github.com/OPEN-NEXT/OSHI/blob/master/sample_data/COSI%20Measure%20-%20Mechanical%20System/.okh-alu6.yaml	
Aluminium Plate 7	1	POSH		https://github.com/OPEN-NEXT/OSHI/blob/master/sample_data/COSI%20Measure%20-%20Mechanical%20System/.okh-alu7.yaml	
Aluminium Plate 8	1	POSH		https://github.com/OPEN-NEXT/OSHI/blob/master/sample_data/COSI%20Measure%20-%20Mechanical%20System/.okh-alu8.yaml	
Aluminium Plate 9	1	POSH		https://github.com/OPEN-NEXT/OSHI/blob/master/sample_data/COSI%20Measure%20-%20Mechanical%20System/.okh-alu9.yaml	
Limit Switch Holder	1	POSH			
x-axis chainholder	1	POSH	Limit Switch Holder		
x-minus	1	POSH	Limit Switch Holder		
x-plus	1	POSH	Limit Switch Holder		
y-axis chainholder	1	POSH	Limit Switch Holder		
y-minus	1	POSH	Limit Switch Holder		
y-plus	1	POSH	Limit Switch Holder		
z-axis 1of2	1	POSH	Limit Switch Holder		
z-axis 2of2	1	POSH	Limit Switch Holder		
z-axis chainholder	1	POSH	Limit Switch Holder		
Aluminum frame	6	BUY		40x80L I-Typ Nut 8, 80cm	https://www.dold-mechatronik.de/Aluminiumprofil-40x80L-I-Typ-Nut-8-Standardlaengen-215-EUR-m
Angle	16	BUY		40x80 l-Typ Nut 8 + screws	https://www.dold-mechatronik.de/Winkel-40x80-I-Typ-Nut-8-inkl-Befestigungssatz
Aluminum frame	3	BUY		40x40L I-Typ Nut 8, 80cm	https://www.dold-mechatronik.de/Aluminiumprofil-40x40L-I-Typ-Nut-8-Standardlaengen-1025-EUR-m
Angle	12	BUY		40 I-Typ Nut 8 + screws	https://www.dold-mechatronik.de/Stahlwinkel-40-I-Typ-Nut-8-inkl-Befestigungssatz
Aluminum frame	2	BUY		40x80L I-Typ Nut 8, 88cm	https://www.dold-mechatronik.de/Aluminiumprofil-40x80L-I-Typ-Nut-8-ZUSCHNITT-bis-1200-mm-2200-EUR-m-030-EUR-pro-Schnitt
Slot nut	10	BUY		I-Typ Nut8, M8	https://www.dold-mechatronik.de/Nutenstein-mit-Steg-I-Typ-Nut-8-Gewindedurchmesser-waehlbar
Screws	10	STD		DIN7991-M8x20, countersunk	https://www.dold-mechatronik.de/DIN-7991-Senkschraube-mit-Innensechskant-88-verzinkt
Slot nut	24	BUY		I-Typ Nut8, M5	https://www.dold-mechatronik.de/Nutenstein-mit-Steg-I-Typ-Nut-8-Gewindedurchmesser-waehlbar
Supported Rail	4	BUY		TBS20 rail 800mm	https://www.dold-mechatronik.de/Linearfuehrung-Supported-Rail-TBS20-800mm-lang
Screw	32	STD		DIN912-M5x20	"https://www.dold-mechatronik.de/DIN-912-Zylinderschraube-mit-Innensechskant-88-verzinkt "
Linear bearing	8	BUY		TBR20UU	https://www.dold-mechatronik.de/Linearlager-20mm-TBR20UU-offen-Spiel-einstellbar
Ballscrew + spindle nut block	2	BUY		SFU1605-DM 652mm	https://www.dold-mechatronik.de/SET-Kugelumlaufspindel-SFU1605-DM-642mm-mit-Spindelmutterblock-fuer-Easy-Mechatronics-System-1620A-L600
Fixed bearing + motor holder	2	BUY		FLB20-3200 fixed bearing and NEMA23 Motorholder	https://www.dold-mechatronik.de/Festlagereinheit-FLB20-3200-inkl-Motorhalter-NEMA23-Easy-Mechatronics-System-1620B
Floating Bearing	2	BUY		LLB20-6200 floating bearing	https://www.dold-mechatronik.de/Loslagereinheit-LLB20-6200-Easy-Mechatronics-System-1620B
Motor coupler	2	BUY		D25L30 8/8	https://www.dold-mechatronik.de/Wellenkupplung-XB-flexibel-D25L30-800-800mm
Easy-Mechatronics System	1	BUY		"Linear axis configuration: 1x fixed bearing and motor holder NEMA23, 1x floating bearing, 4x linear bearings SCJ20UU, 2x präzisionshaft 20mm h6 840mm, 4x shaftholder SH20, 1x ballscrew with spindle nut block SFU1605-DM 852mm, 1x shaft coupling 8/8mm D25L30 "	https://www.dold-mechatronik.de/Linearachse-Konfigurator-Easy-Mechatronics-System-1620B
Screw	50	STD		DIN912-M6x20	"https://www.dold-mechatronik.de/DIN-912-Zylinderschraube-mit-Innensechskant-88-verzinkt "
Screw	16	STD		DIN7991-M6x20, countersunk	https://www.dold-mechatronik.de/DIN-7991-Senkschraube-mit-Innensechskant-88-verzinkt-M6x20
Bolt	20	STD		DIN912-M5x30	"https://www.dold-mechatronik.de/DIN-912-Zylinderschraube-mit-Innensechskant-88-verzinkt "
Screw	4	STD		DIN7991-M5x20, countersunk	https://www.dold-mechatronik.de/DIN-7991-Senkschraube-mit-Innensechskant-88-verzinkt-M6x20
"Hexagon nut    "	24	STD		DIN934-M5	"https://www.dold-mechatronik.de/DIN-934-Sechskantmutter-8-verzinkt "
distance holder	4	BUY		1mm for TBR20UU linear bearing	https://www.dold-mechatronik.de/Distanzblech-1mm-fuer-TBR20UU
distance holder	2	BUY		1mm for ballscrew block	https://www.dold-mechatronik.de/Distanzblech-1mm-fuer-TR-Muttern-mit-Gehaeuse-16x4-und-16x8-sowie-Spindelmuttergehaeuse-HSFU1605
Bolt	2	STD		DIN912-M6x30	"https://www.dold-mechatronik.de/DIN-912-Zylinderschraube-mit-Innensechskant-88-verzinkt "
Screw nut	2	STD		DIN934-M6	https://www.dold-mechatronik.de/DIN-934-Sechskantmutter-8-verzinkt-M6x1
cable mount	4	BUY			https://www.conrad.de/de/hellermanntyton-151-28469-mb4a-pa66-na-c1-befestigungssockel-selbstklebend-schraubbar-4fach-einfaedeln-halogenfrei-uv-541796.html
