C2	1	BUY	150u, CP_Elec_8x6.2	""
C5	1	BUY	820u, CP_Radial_D10.0mm_P5.00mm	""
C1	1	BUY	1200u, CP_Radial_L31.5mm_D16.0mm_P7.50mm_horizontal	""
C9, C10, C19, C24, C25, C26, C30, C31, C32, C39, C42, C43	12	BUY	100n, C_0603_1608	""
C4, C7, C8, C17, C18, C27, C28, C37, C41, C44	10	BUY	10n, C_0603_1608	""
C12, C23, C33, C34, C38	5	BUY	2.2u, C_0603_1608	""
C6, C11, C13	3	BUY	1n, C_0603_1608	""
C29	1	BUY	220n, C_0603_1608	""
C35	1	BUY	100p, C_0603_1608	""
C14	1	BUY	1u, C_0805_2012	""
C20, C21, C36, C40	4	BUY	22u, C_1206_3216	""
C3	1	BUY	4.7u, C_1210_3225	""
C15	1	BUY	10u, C_1210_3225	""
R12, R22, R23, R24, R25, R28, R35, R36	8	BUY	100k, R_0603_1608	""
R5, R7, R13, R30, R33, R34	6	BUY	2.2k, R_0603_1608	""
R11, R14, R15, R18, R20, R21	6	BUY	470, R_0603_1608	""
R9, R16, R19, R31	4	BUY	10k, R_0603_1608	""
R26, R27	2	BUY	5.6k, R_0603_1608	""
R29, R32	2	BUY	24.9k, R_0603_1608	""
R2	1	BUY	1M, R_0603_1608	""
R8	1	BUY	100, R_0603_1608	""
R1, R3, R10	3	BUY	4.7, R_0805_2012	""
R4	1	BUY	2.2, R_1206_3216	""
R6, R17	2	BUY	3m, R_Bourns_CRE2512	""
L3	1	BUY	10uH, Bourns_SRN8040TA	""
L1	1	BUY	47uH, L-FERYSTER-DTMSS-27_47uH	""
L2	1	BUY	2.2uH, L_1210_3225Metric	""
D5	1	BUY	SMBJ24A, D_SMB	""
D1, D4, D7	3	BUY	1N4148, D_SOD-123	""
D6	1	BUY	SS14FL, D_SOD-123	""
U2	1	BUY	STM32L072CZT6, LQFP-48_7x7mm_P0.5mm	""
U1	1	BUY	LM5109BMA, SOIC-8_3.9x4.9mm_Pitch1.27mm	""
U5	1	BUY	AP2210-3.3, SOT-23-5	""
U3, U4	2	BUY	D1213A-04SO, SOT-23-6	""
U9	1	BUY	LMR33630, TI_SO-PowerPAD-8_ThermalVias	""
U6	1	BUY	INA2181, VSSOP-10_3.0x3.0mm_P0.5mm	""
F1	1	BUY	25A, KEYSTONE-FUSE-3557-2	""
F2	1	BUY	50mA, R_1206_3216	""
Q1, Q2, Q4	3	BUY	PSMN5R2-60YLX, 5X6_MOSFET	""
Q3	1	BUY	BSC084P03NS3, 5X6_MOSFET	""
LED1, LED2, LED3	3	BUY	yellow, LED_0603_D3.0mm	""
LED4, LED5	2	BUY	green, LED_0603_D3.0mm	""
LOGO1	1	BUY	LIBRE_SOLAR, LIBRESOLAR_LOGO	""
RT1	1	BUY	10k NTC, R_0603_1608	""
Q5, Q6, Q7	3	BUY	BSS83P, SOT-23	""
T1, T2	2	BUY	MMBT3904, SOT-23	""
J4	1	BUY	UEXT, Box_Header_2x05x2.54mm_Straight	""
J6	1	BUY	PWR_12V, JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical	""
J1, J2, J3	3	BUY	MKDS_5-2_952, Phoenix_Contact_MKDS_5-2-952	""
J8	1	BUY	ST_Nucleo_SWD, PinHeader_1x05_P2.54mm_Vertical	""
J7	1	BUY	6P6C, RJ25_6P6C_TabUp	""
J5	1	BUY	USB_A_stacked, USB_A_Wuerth_61400826021_Horizontal_Stacked	""
NAME	QUANTITY	TYPE	REFERENCE	PARENT-ASM
