POS	NAME	QUANTITY	TYPE	REFERENCE
1	PCB	2	BUY	
2	Plate	2 sets	BUY	
3	ProMicro	2	BUY	
4	TRRS Jack	2	BUY	
5	TRS(3 pole) cable	1	BUY	TRRS(4 pole) cable works too.
6	Tact switch	2	BUY	
7	Diode	42	BUY	You need SMD for low profile.
8	Key Switch	42	BUY	
9	Key Cap	42	BUY	1u x 40, 1.5u x 2
10	Spacer M2 6mm	10	BUY	use 3mm for low profile
11	Spacer M2 8mm or 10mm	4	BUY	
12	Screw M2	28	BUY	
13	Rubber foot	10	BUY	
14	(optional) OLED Module	1 or 2	BUY	
15	(optional) 4x1 Pin Male Header	2	BUY	For OLED
16	(optional) 4x1 Pin Female Socket	2	BUY	For OLED
17	(optional) SK6812MINI	54	BUY	Front side x 42, back side x 12
18	(optional) Addressable LED Strip	2	BUY	exclusive with SK6812MINI
